name,chemicalFormula,phase,molecularWeight,density,viscosity,thermalConductivity,specificHeat,emissivity,absorptionCoefficient,sutherlandTemperature,sutherlandCoefficient,surfaceTension,saturationPressure
air,,gas,28.966,1.225,1.79E-05,0.0245,1006,,0,110.4,1.46E-06,,
oxygen,O2,gas,31.9988,1.353,2.00E-05,0.0256,918.3,,0,139,1.75E-06,,
nitrogen,N2,gas,28.0134,1.185,1.73E-05,0.0251,1041.3,,0,107,1.40E-06,,
carbon-dioxide,CO2,gas,44.01,1.861,1.44E-05,0.0159,841.25,,0,222,1.50E-06,,
hydrogen,H2,gas,2.01588,0.085,8.69E-06,0.181,14268,,0,97,6.90E-06,,
helium,He,gas,4.002602,0.169,1.94E-05,0.152,5193.2,,0,99,2.59E-05,,
argon,Ar,gas,39.948,1.69,2.20E-05,0.0172,521.66,,0,114,1.82E-06,,
carbon-monoxide,CO,gas,28.0106,1.185,1.73E-05,0.0242,1042,,0,136,1.50E-06,,
methane,CH4,gas,16.043,0.679,1.08E-05,0.0326,2210,,0,184,1.04E-06,,
water-liquid,H<sub>2</sub>O,liquid,18.0153,999.1,1.14E-03,0.5888,4188.5,,,,,0.07,2300
water-vapor,H<sub>2</sub>O,gas,18.0153,0.588,1.22E-05,0.0246,2080,,0,1064,2.42E-06,,
steel,,solid,,7850,,24.3,450,0.066,,,,,
concrete,,solid,,3000,,0.6,1900,0,,,,,
aluminum,Al,solid,,2707,,204,896,0.039,,,,,
copper,Cu,solid,,8954,,386,383.1,0.023,,,,,
